filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree,num
0.0,56.28427052497864,219.0,7.0,9.0,0.7777777777777778,0.7684210526315789,0.8687201504405094,21.0
0.0,187.0954530239105,2403.5,24.0,31.0,0.7741935483870968,0.7798509387391902,0.8628345451064505,22.0
0.0,289.86500453948975,3701.5,17.0,59.0,0.288135593220339,0.8659320732782492,0.5535999543307771,15.0
0.0,243.22034204006195,2886.0,16.0,50.0,0.32,0.8294192872307476,0.6130648279614069,8.0
0.0,350.3919162750244,7489.0,35.0,62.0,0.5645161290322581,0.835638352585048,0.7665236133768962,8.0
0.0,314.2914115190506,6481.5,35.0,54.0,0.6481481481481481,0.8248476484235893,0.8245563916411277,25.0
0.0,328.8771975040436,5436.0,25.0,63.0,0.3968253968253968,0.8244661477718314,0.6315704269066651,12.0
0.0,183.4802287817001,2192.0,19.0,32.0,0.59375,0.8226530787186624,0.8182233478847536,12.0
0.0,227.9066345691681,3177.0,23.0,41.0,0.5609756097560976,0.8046617246400631,0.7686225871206028,12.0
0.0,174.75230717658997,2058.5,20.0,29.0,0.6896551724137931,0.8078282973048698,0.8470614139624578,12.0
0.0,200.30865669250488,2417.0,20.0,37.0,0.5405405405405406,0.8125785128278571,0.7569846576372106,11.0
0.0,261.1959583759308,3240.0,17.0,51.0,0.3333333333333333,0.8565441470776128,0.5967905932341442,12.0
0.0,187.96551084518435,2302.0,21.0,33.0,0.6363636363636364,0.8163120567375887,0.8187641990373286,12.0
0.0,180.46803617477417,2143.5,21.0,31.0,0.6774193548387096,0.8249722940310109,0.8270519062918412,12.0
0.0,129.25483298301697,1170.0,16.0,21.0,0.7619047619047619,0.8647450110864745,0.8800394564369715,11.0
0.0,283.4213539361954,4761.0,27.0,53.0,0.5094339622641509,0.7806857434120512,0.7448055578213216,12.0
0.0,260.29141080379486,4177.5,26.0,46.0,0.5652173913043478,0.8542949583622049,0.7748303933412861,25.0
0.0,202.6101713180542,2375.5,18.0,36.0,0.5,0.8343870741131015,0.7271808128834721,14.0
0.0,228.977702498436,3060.5,20.0,43.0,0.4651162790697674,0.8464797325134388,0.7335265891507728,10.0
0.0,282.5096665620804,4731.0,26.0,52.0,0.5,0.8424145299145299,0.744896934415392,12.0
0.0,177.9238798618317,2123.5,22.0,29.0,0.7586206896551724,0.8368134754406861,0.8429341495189213,13.0
0.0,187.33809328079224,2224.0,20.0,31.0,0.6451612903225806,0.8253298952059777,0.7963288602732708,11.0
0.0,234.6518018245697,3756.0,30.0,38.0,0.7894736842105263,0.808459598945676,0.857210852827714,12.0
0.0,193.78174459934235,2548.5,24.0,31.0,0.7741935483870968,0.8306132981848896,0.8528423907634761,11.0
0.0,219.19595777988437,2915.0,22.0,38.0,0.5789473684210527,0.8315081042081433,0.7624007960670637,11.0
0.0,220.5512961149216,3243.5,26.0,36.0,0.7222222222222222,0.81597512028686,0.8379238222032316,11.0
0.0,261.1198378801346,3070.5,16.0,53.0,0.3018867924528302,0.8291925465838509,0.5658993966084366,11.0
0.0,251.56348955631256,3759.0,24.0,45.0,0.5333333333333333,0.8128623725727849,0.7464263614416702,17.0
0.0,248.20815110206604,3805.5,24.0,45.0,0.5333333333333333,0.8322327739465757,0.7762283694925415,11.0
0.0,228.55129659175876,3648.5,30.0,36.0,0.8333333333333334,0.7973120629370629,0.8777217003423459,18.0
0.0,211.48022997379303,3139.0,28.0,35.0,0.8,0.7885403193794034,0.881985878547345,26.0
0.0,252.43354773521423,3421.5,19.0,49.0,0.3877551020408163,0.8552722150192161,0.6747334896511568,26.0
0.0,157.0538227558136,1680.0,19.0,25.0,0.76,0.8034433285509326,0.8558982180710124,18.0
0.0,254.87719798088077,4364.0,30.0,43.0,0.6976744186046512,0.8405238828967643,0.8441752942750711,16.0
0.0,241.4802290201187,471.0,6.0,26.0,0.2307692307692307,0.2767332549941245,0.1015003671085456,16.0
0.0,203.92387914657596,2965.5,28.0,32.0,0.875,0.8115763546798029,0.8961312545393705,14.0
0.0,274.7766926288605,3937.5,26.0,44.0,0.5909090909090909,0.8267961277782319,0.6553459912622723,16.0
0.0,281.56348979473114,2845.0,25.0,36.0,0.6944444444444444,0.6773809523809524,0.4509614892605165,16.0
0.0,166.9533174037933,1851.5,20.0,27.0,0.7407407407407407,0.8435768641336755,0.8347251029604487,16.0
0.0,295.1198387145996,5406.5,29.0,53.0,0.5471698113207547,0.8530528082358458,0.7800622504561199,16.0
0.0,325.9898965358734,5569.0,24.0,63.0,0.3809523809523809,0.8598199509187363,0.6585349086867925,16.0
0.0,223.68123924732208,3511.0,31.0,36.0,0.8611111111111112,0.8443963443963444,0.8818233068095456,16.0
0.0,206.46803605556488,2789.5,22.0,35.0,0.6285714285714286,0.8630948096173631,0.8223005415459508,16.0
