filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,211.48022997379303,3139.0,28,35,0.8,0.7885403193794034,0.881985878547345
1,210.8944435119629,3130.5,28,35,0.8,0.7895630403926583,0.884490753810592
2,210.8944433927536,3122.5,28,35,0.8,0.7875453102143669,0.8822304366381872
3,210.89444231987,3084.5,27,34,0.7941176470588235,0.7951310620356546,0.8714939341867166
4,210.89444184303284,3064.5,27,34,0.7941176470588235,0.7857807567370773,0.8658431426137753
5,209.48022878170013,3041.0,27,34,0.7941176470588235,0.7860572968244968,0.8708436814380167
6,208.06601572036743,3035.5,27,34,0.7941176470588235,0.7869993979933626,0.8811255596855601
7,205.82337403297424,2969.0,27,34,0.7941176470588235,0.7846637019020796,0.880705432268362
8,207.48022878170013,2992.0,27,34,0.7941176470588235,0.779309963251404,0.8734097119927882
9,203.58073472976685,2929.5,27,34,0.7941176470588235,0.7872883633431873,0.8882393551922734
10,205.2375886440277,2947.5,27,33,0.8181818181818182,0.7810090209038986,0.8793259114911883
11,203.23758840560913,2884.5,27,33,0.8181818181818182,0.7871713447106345,0.8775509513157174
12,202.99494683742523,2913.0,27,33,0.8181818181818182,0.7909306675060006,0.8883413837734283
13,200.40916049480438,2822.5,26,33,0.7878787878787878,0.7840275077725092,0.8830975441594242
14,203.5807341337204,2890.5,27,33,0.8181818181818182,0.7794462652289398,0.8764143612279673
15,201.92388010025024,2848.5,26,33,0.7878787878787878,0.79125,0.8779114676862202
16,201.58073389530182,2873.5,27,33,0.8181818181818182,0.7851092896174864,0.8886341958764428
17,204.40916121006012,2909.5,27,33,0.8181818181818182,0.7845697660209653,0.8750392087709947
18,200.9949473142624,2845.0,27,33,0.8181818181818182,0.7835806743963012,0.8849563595114583
19,202.75230705738068,2859.5,27,33,0.8181818181818182,0.7888275654542183,0.874114562804535
20,202.40916109085083,2852.5,27,33,0.8181818181818182,0.7793715846994536,0.8749337859519669
21,202.16652047634125,2849.0,27,33,0.8181818181818182,0.7843726411114207,0.8759591235675779
22,198.75230717658997,2827.5,27,33,0.8181818181818182,0.798728813559322,0.8994729764986442
23,198.0243855714798,2765.0,26,33,0.7878787878787878,0.8363581367211131,0.8860692207245869
24,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
25,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
26,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
27,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
28,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
29,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
30,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
31,199.92388010025024,2803.5,26,33,0.7878787878787878,0.7919491525423729,0.8814163059639548
