filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9869642925688332,0.9675504550850811,0.9615384615384616,0.9666666666666667,0.9946949602122015,0.9965496300542096,0.9932778259885542
2,0.9968868669448778,0.9969325153374233,1.04,1.0,1.04,0.9974328558049284,1.003168788862327
3,0.9849215499429809,0.9733333333333334,1.0,0.9655172413793104,1.0357142857142858,0.969580476524101,1.0033635430902512
4,0.9918013532917395,0.9911485774499473,0.9615384615384616,1.0,0.9615384615384616,1.0372872821072692,1.0076028074796017
5,1.001872683278879,0.9923453115032957,1.0,1.0,1.0,1.0084753352731664,0.9886390288465708
6,0.9787586953561254,0.9749303621169917,1.0,0.9642857142857143,1.0370370370370372,0.9835995525726916,1.0177059860518927
7,0.9948301102930035,0.994065934065934,1.0,1.037037037037037,0.9642857142857142,1.0003471797121564,1.0044246170242668
8,1.0,0.979659518019014,1.0,1.0,1.0,1.023511619386164,0.9796595180190139
9,0.991526156874143,0.9990972692394493,0.96,1.0,0.9599999999999999,1.0040541923862973,1.016247337597261
10,1.0132203656816914,1.0212333408628869,1.0416666666666667,1.0,1.0416666666666667,1.0095315735840995,0.9947573667845419
11,0.9875117959244133,0.977659809776598,0.96,1.0,0.9599999999999999,0.9845450342849127,1.0025433907982786
12,1.009342913763663,1.0226244343891402,1.0416666666666667,1.0,1.0416666666666667,0.996617898134001,1.003780347908497
13,0.9967273548964566,0.9683628318584071,0.96,1.0,0.9599999999999999,1.013153300794378,0.9747322980396158
14,0.9920732044405329,0.9938313913639479,1.0,1.0,1.0,0.992087336692453,1.0097765271600323
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
