filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9956508491996257,0.9850591885990116,0.96,1.0,0.96,1.012509351455747,0.9936837539464232
2,1.0061774927698985,1.0023334500058336,1.0416666666666667,1.0,1.0416666666666667,0.989185785245963,0.9900634481958662
3,0.9960310973658734,1.0001164008846468,1.0,1.0,1.0,1.0086603566991714,1.00810264353697
4,1.0009027021054033,1.0017458100558658,1.0,1.0,1.0,0.9891894108985121,0.9999396998891787
5,0.9990981173479287,0.9982572324851865,1.0,1.0,1.0,1.0045385093362171,1.0000602931025755
6,0.9978206839711565,0.9891759776536313,0.96,1.0,0.96,1.0103979667604122,0.993501566877811
7,0.9947271778002553,1.0078832803859277,1.0416666666666667,1.0,1.0416666666666667,0.9968245051961089,1.0185967194839858
8,0.9937897626526646,0.985057202895167,0.96,1.0,0.96,1.0077435029259045,0.9974070043087501
9,1.0040396715577729,0.9899265228727187,1.0,1.0,1.0,0.9739802919838776,0.9819767707838749
10,0.9893751292451437,1.0021549144020112,1.0416666666666667,1.0,1.0416666666666667,1.0074309184359045,1.0237947134076597
11,1.0183325690074776,1.0136184446302712,1.0,1.0,1.0,1.0098382929992016,0.9774515439371768
12,0.981997463286518,0.9363582793164408,0.92,0.9791666666666666,0.9395744680851061,0.985361235112254,0.9710046799185064
13,0.9879581735360616,1.0002517306482064,1.0,1.0,1.0,1.0217507568571165,1.0247836654178066
14,1.014439822035488,1.009185856297974,1.0,1.0,1.0,0.9921001484070898,0.980660261043272
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
