filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,170.99494802951813,1894.0,18,30,0.6,0.8006763897696048,0.8139978908770394
1,168.9949470758438,1857.0,18,29,0.6206896551724138,0.7946084724005135,0.8170983411908758
2,165.5807340145111,1801.5,18,29,0.6206896551724138,0.7928071685527018,0.8257042567704211
3,167.23758733272552,1801.5,18,29,0.6206896551724138,0.7943121693121693,0.809424495795705
4,165.33809304237366,1802.0,18,29,0.6206896551724138,0.780593458956032,0.8283593946396772
5,164.16652143001556,1779.0,18,28,0.6428571428571429,0.804249547920434,0.8295004392037761
6,165.68123960494995,1798.0,18,29,0.6206896551724138,0.7678171426382941,0.8231005292866844
7,164.50966572761536,1761.0,18,29,0.6206896551724138,0.7842749202286775,0.8176856575664477
8,167.58073365688324,1824.5,18,29,0.6206896551724138,0.7916820661034549,0.8164048140317919
9,161.8233746290207,1720.0,18,27,0.6666666666666666,0.8167141500474834,0.8253835397786274
10,159.09545171260834,1713.5,18,27,0.6666666666666666,0.8336943021023093,0.850703940976367
11,162.2670258283615,1748.5,18,29,0.6206896551724138,0.775044769327798,0.8344781093987844
12,161.33809387683868,1735.0,18,28,0.6428571428571429,0.8061462692923234,0.8375977456424694
13,161.0954521894455,1714.5,18,28,0.6428571428571429,0.7952226345083488,0.8301962990925401
14,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
15,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
16,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
17,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
18,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
19,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
20,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
21,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
22,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
23,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
24,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
25,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
26,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
27,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
28,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
29,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
30,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
31,157.9238795042038,1685.5,18,27,0.6666666666666666,0.8213938843418715,0.8492645819961966
