filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,110.22539556026459,756.0,11,17,0.6470588235294118,0.7963577385344793,0.7819308130979368
1,105.1543276309967,702.5,11,17,0.6470588235294118,0.8055380037886621,0.7983657382634767
2,104.91168713569641,664.0,10,17,0.5882352941176471,0.7783994326467755,0.7581064663557774
3,103.15432786941528,670.5,10,17,0.5882352941176471,0.8159558364408644,0.7918332583829731
4,104.32590055465698,649.5,10,17,0.5882352941176471,0.7911200558295549,0.7499023850356253
5,105.39696824550629,674.0,10,17,0.5882352941176471,0.8163417375373615,0.7624537828775019
6,105.74011409282684,664.0,10,17,0.5882352941176471,0.779987041049898,0.7462741424135027
7,100.91168701648712,640.0,10,17,0.5882352941176471,0.8028350438474889,0.7897814057344692
8,104.08326029777527,621.0,10,17,0.5882352941176471,0.7934454538669267,0.7203435785464897
9,102.08326017856598,616.0,9,17,0.5294117647058824,0.809524929602133,0.7428164508709001
10,99.74011421203613,575.0,9,16,0.5625,0.838621515569199,0.7263366962952457
11,97.74011468887329,573.0,9,16,0.5625,0.82937768699777,0.7537351996057613
12,98.0832599401474,580.0,9,17,0.5294117647058824,0.8057867184577846,0.7576141439358105
13,96.91168713569641,553.0,8,16,0.5,0.8035590883282456,0.7399164568490114
14,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
15,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
16,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
17,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
18,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
19,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
20,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
21,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
22,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
23,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
24,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
25,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
26,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
27,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
28,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
29,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
30,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
31,96.9116872549057,551.0,9,16,0.5625,0.7961893157803862,0.7372404461497498
