filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.953993651794197,0.9292328042328042,1.0,1.0,1.0,1.0115278157164356,1.021018387931825
2,0.997692529629862,0.9451957295373665,0.9090909090909091,1.0,0.9090909090909091,0.9663100052210489,0.9495728962577138
3,0.9832491563689364,1.009789156626506,1.0,1.0,1.0,1.0482482414798102,1.044488199908544
4,1.011357474857718,0.9686800894854586,1.0,1.0,1.0,0.9695623470019636,0.9470458295311109
5,1.0102665559094615,1.0377213240954581,1.0,1.0,1.0,1.0318809787742766,1.0167373755469258
6,1.0032557468495797,0.9851632047477745,1.0,1.0,1.0,0.9554663263976508,0.9787795131621785
7,0.9543368463542515,0.963855421686747,1.0,1.0,1.0,1.0292927979506383,1.0582993043015816
8,1.0314291969053098,0.9703125,1.0,1.0,1.0,0.988304459237898,0.91207968852672
9,0.9807846130733469,0.9919484702093397,0.9,1.0,0.9,1.0202653826508699,1.0311974354928743
10,0.9770467169403565,0.9334415584415584,1.0,0.9411764705882353,1.0625,1.0359427917573414,0.9778144997242144
11,0.9799478921899861,0.9965217391304347,1.0,1.0,1.0,0.9889773534308205,1.037721491217867
12,1.0035107923943656,1.012216404886562,1.0,1.0625,0.9411764705882353,0.9715558196105065,1.0051462958504234
13,0.9880553235570889,0.9534482758620689,0.8888888888888888,0.9411764705882353,0.9444444444444444,0.997235459361005,0.9766402366845219
14,1.0000000012300818,0.9963833634719711,1.125,1.0,1.125,0.9908285866529221,0.9963833610207056
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
