filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,168.06601548194885,1670.5,15,31,0.4838709677419355,0.8170701883101003,0.743184316576544
1,162.89444243907928,1616.5,15,30,0.5,0.8354005167958657,0.7655490783594409
2,162.06601572036743,1590.5,15,30,0.5,0.82324016563147,0.7609561417408092
3,164.06601572036743,1621.5,15,30,0.5,0.8235861615421685,0.7569889742566259
4,163.23758745193481,1614.5,15,31,0.4838709677419355,0.8247765006385696,0.7613907183164015
5,164.65180218219757,1626.0,15,30,0.5,0.8220424671385238,0.7536981132022325
6,164.40916109085083,1628.5,15,30,0.5,0.805789213260762,0.7570866710883597
7,162.65180099010468,1595.0,15,30,0.5,0.8158567774936062,0.7576223858897808
8,161.23758804798126,1579.5,15,30,0.5,0.8175465838509317,0.763478670245765
9,159.92387998104095,1503.5,15,30,0.5,0.7838201348066552,0.7387315727309076
10,159.3380937576294,1561.0,15,30,0.5,0.8000359426275397,0.7726334969542241
11,158.6518017053604,1529.0,15,29,0.5172413793103449,0.8287262872628727,0.7633563673506694
12,156.65180253982544,1495.0,15,29,0.5172413793103449,0.8287139689578714,0.7655618154108554
13,158.06601536273956,1530.5,14,29,0.4827586206896552,0.8681225184344866,0.7697792268071179
14,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
15,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
16,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
17,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
18,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
19,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
20,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
21,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
22,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
23,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
24,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
25,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
26,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
27,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
28,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
29,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
30,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
31,150.75230646133423,1420.5,14,28,0.5,0.817318757192175,0.7854583686220156
