filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9879497656830449,0.9853815659068385,1,1.0,1.0,0.9963388725441698,1.009565981983891
2,0.9878027902912789,0.967060598441036,1,1.0,1.0,0.9979428106765853,0.9910902226120115
3,0.9981106702529542,0.9979199167966719,1,0.9696969696969697,1.03125,0.9884809316456754,1.0017014297742732
4,1.0018929060707937,1.0026055237102658,1,1.0,1.0,0.9940775256713973,0.9988205976967535
5,1.021470346645363,1.030925155925156,1,1.03125,0.9696969696969696,1.0205154349159047,0.9880424638752083
6,0.9910692196040544,0.9959667254852533,1,0.9696969696969697,1.03125,0.9885589071728134,1.0139974269118681
7,1.0031859621125547,1.0007593014426728,1,1.03125,0.9696969696969696,1.0055999274489542,0.9944128842523678
8,0.9801743613185007,0.9635811836115327,1,0.9696969696969697,1.03125,0.9991563988291398,1.002955429948701
9,1.0183286492940355,1.0356955380577428,1,1.03125,0.9696969696969696,1.0112373791583869,0.9987485936573619
10,0.9801374128569336,0.9685757729346174,1,0.9696969696969697,1.03125,0.9874627984319724,1.0082301208719944
11,1.0281022185242337,1.032705389848247,1,1.0,1.0,1.0031590777813824,0.9770208932691201
12,0.9708163084667528,0.9592095262224475,1,0.96875,1.032258064516129,0.9930705865812655,1.017745888554875
13,1.0254613640158514,1.0250924458531432,1,1.032258064516129,0.96875,1.005367124754193,0.9748199950291138
14,0.9999999967727794,1.0072146354032465,1,1.03125,0.9696969696969696,1.001492544492024,1.0072146419042542
15,1.0,1.0,1,1.0,1.0,1.0,1.0
16,1.0,1.0,1,1.0,1.0,1.0,1.0
17,1.0,1.0,1,1.0,1.0,1.0,1.0
18,1.0,1.0,1,1.0,1.0,1.0,1.0
19,1.0,1.0,1,1.0,1.0,1.0,1.0
20,1.0,1.0,1,1.0,1.0,1.0,1.0
21,1.0,1.0,1,1.0,1.0,1.0,1.0
22,1.0,1.0,1,1.0,1.0,1.0,1.0
23,1.0,1.0,1,1.0,1.0,1.0,1.0
24,1.0,1.0,1,1.0,1.0,1.0,1.0
25,1.0,1.0,1,1.0,1.0,1.0,1.0
26,1.0,1.0,1,1.0,1.0,1.0,1.0
27,1.0,1.0,1,1.0,1.0,1.0,1.0
28,1.0,1.0,1,1.0,1.0,1.0,1.0
29,1.0,1.0,1,1.0,1.0,1.0,1.0
30,1.0,1.0,1,1.0,1.0,1.0,1.0
31,1.0,1.0,1,1.0,1.0,1.0,1.0
