filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9999999953954904,0.9875518672199171,1.0,1.0,1.0,0.9875518672199171,0.987551876314301
2,0.9871248641775194,0.9903961584633854,1.0,1.0,1.0,1.0221188096928557,1.0164002533080283
3,1.002237833555396,0.9921212121212121,1.0,1.0,1.0,0.9613295713735596,0.9876956688206263
4,1.0107811056524674,1.0195479535736103,1.0,1.0,1.0,1.0195479535736103,0.9979147157465477
5,0.9642306139832351,0.9499700419412822,1.0,0.9583333333333334,1.0434782608695652,0.9655433213173688,1.0217580724394262
6,1.0370962962212589,1.04320403658152,1.0,1.0434782608695652,0.9583333333333333,1.0421685983318112,0.9699092301377409
7,1.0037710480786115,1.0057436517533254,1.0,1.0,1.0,0.9905051115752447,0.9982009291421282
8,0.9962431269444887,0.9948902915539525,1.0,1.0,1.0,0.9948902915539524,1.0024079825528671
9,0.9893338823013808,1.0,1.0,1.0,1.0,1.0,1.0216784529188687
10,1.0107811056357416,1.0,1.0,1.0,1.0,1.0,0.9787815396831403
11,0.9946669403587161,0.9945619335347432,1.0,1.0,1.0,0.9945619335347432,1.005255517796946
12,0.9946383525122343,0.988456865127582,1.0,1.0,1.0,1.0036638938218525,0.9991422394785079
13,0.9746260783883777,0.9523663183773817,0.9523809523809523,0.9583333333333334,0.9937888198757764,0.9679788809737322,1.0026006275652535
14,0.9993289943360273,1.0138754436915134,1.0,1.0,1.0,1.04687920162418,1.0152374467363476
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
