filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,1.0181463549542484,1.0153124228204495,0.9642857142857143,1.0,0.9642857142857142,1.0285077194209802,0.9794432519433492
2,1.0192863150759464,0.9976891267331549,1.037037037037037,1.0222222222222221,1.0144927536231885,0.9889279178952572,0.9602909859855822
3,0.95341436818457,0.9602584420334024,0.9642857142857143,0.9565217391304348,1.008116883116883,1.018146094492644,1.0563911368125314
4,0.9885374500094752,0.9940332613939317,1.0,0.9772727272727273,1.0232558139534884,0.9902445385632465,1.017219466855324
5,0.9868812326527605,0.9790549169859515,1.0,0.9767441860465116,1.023809523809524,1.0063313333218908,1.0052573856553706
6,0.9792538946345333,0.9595617010174797,0.9629629629629629,1.0,0.9629629629629629,0.9933507440876943,1.0006502096453955
7,0.9976002964404355,0.9898042414355628,1.0,1.0,1.0,1.006809116218618,0.9945718694273129
8,0.993196278178894,0.9980771871995605,1.0,1.0,1.0,0.989008202856405,1.0117983392956242
9,0.9937373424352112,1.005779551396725,1.0,0.9761904761904762,1.024390243902439,0.9955962805534134,1.0184965958860628
10,0.9872225321908047,0.9612806129429471,0.9615384615384616,1.0,0.9615384615384615,1.0092027309026392,0.9863250551647393
11,0.989102346521114,1.0041275263307714,1.04,1.0,1.04,0.9928458754556257,1.0263758109725913
12,1.0315910547922917,1.0279234585400425,1.0384615384615385,1.0,1.0384615384615385,0.9902379824889868,0.9659299721541548
13,0.9717959057275359,0.9591836734693877,0.9629629629629629,1.0,0.9629629629629629,1.0026367594446408,1.0156677153076004
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
