filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,315.80613100528717,6596.5,36,56,0.6428571428571429,0.7734450606656921,0.831155564253486
1,308.39191591739655,6170.0,35,55,0.6363636363636364,0.7620130876832132,0.8152467157291385
2,307.5634888410568,6025.0,34,54,0.6296296296296297,0.7606912989584368,0.8003820825894576
3,304.3919162750244,5981.0,34,54,0.6296296296296297,0.7577768172609981,0.8111803784494654
4,305.32084941864014,6013.5,34,54,0.6296296296296297,0.7512426317940226,0.8106329552356007
5,304.7350617647171,5942.0,34,54,0.6296296296296297,0.7550319520394676,0.8040770385274751
6,303.563489317894,5868.0,34,53,0.6415094339622641,0.7592870501282141,0.8002043295250891
7,302.97770285606384,5964.5,34,53,0.6415094339622641,0.7588988445217278,0.8165119965365762
8,298.73506116867065,5847.0,34,52,0.6538461538461539,0.7597454171447621,0.8233236000223657
9,295.5634891986847,5726.0,34,52,0.6538461538461539,0.7615375346926124,0.8236821186529683
10,294.977702498436,5788.5,34,51,0.6666666666666666,0.7677056389906981,0.8359831506302128
11,292.9777019023895,5622.5,33,51,0.6470588235294118,0.765591096995282,0.8231333387014703
12,294.39191710948944,5633.0,34,51,0.6666666666666666,0.7723845772482199,0.816766377921319
13,287.3208488225937,5501.5,33,50,0.66,0.7726284268319835,0.8374457825122181
14,286.49242174625397,5420.5,34,49,0.6938775510204082,0.765967006912418,0.8298945941596902
15,281.0782083272934,5192.0,33,47,0.7021276595744681,0.7691853308088933,0.8258291238084536
16,279.0782079696655,5093.0,33,47,0.7021276595744681,0.7682596325889297,0.8217348179836167
17,273.4213534593582,4914.0,32,45,0.7111111111111111,0.7774088387928014,0.8260002117090495
18,271.6639943122864,4916.5,33,45,0.7333333333333333,0.7759628185146674,0.8371470356528491
19,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
20,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
21,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
22,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
23,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
24,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
25,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
26,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
27,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
28,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
29,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
30,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
31,270.2497808933258,4769.0,32,44,0.7272727272727273,0.7724328227934405,0.820552712412134
