filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,1.0,1.0051317937951947,1.0,1.0,1.0,0.9964285618885889,1.005131793795195
2,1.0045904359281006,1.0027848688790904,1.0,1.0,1.0,1.0027848688790901,0.9936414360698193
3,1.0032310976779135,1.016431381624624,1.0,1.0,1.0,0.9972596892969681,1.0098947014820219
4,1.0045547432937405,1.0045537340619308,1.0,1.0,1.0,0.9915489172038426,0.9954649082292293
5,1.000000000652448,1.0072529465095195,1.0,1.0,1.0,0.997344937760947,1.0072529451951582
6,0.9877257282677209,0.9943744374437443,1.0,1.0,1.0,1.0111221895338067,1.019241781958991
7,0.988917703769101,0.9656030776193709,1.0,1.0,1.0,0.986147823951698,0.987366385501023
8,0.9644578050596334,0.9409421138973517,1.0,0.9032258064516129,1.1071428571428572,1.0125425745046048,1.011571168348259
9,0.9883805299965904,0.9711083437110835,0.9523809523809523,1.0,0.9523809523809524,0.9881816773846718,0.994075389869307
10,0.9862269082225346,0.9851243908694537,1.0,1.0,1.0,1.001519412022857,1.0128319123925502
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
