filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9909953574299897,0.9961309523809524,1.0,1.0,1.0,1.0210342261904761,1.0143158106722752
2,1.005322726525105,0.9922318494173887,1.0,1.0,1.0,0.9922318494173887,0.9817528312954193
3,0.9909616442432286,0.9744052996085516,0.9473684210526315,1.0,0.9473684210526315,1.040181481528752,0.9922610568126692
4,0.971989431427116,0.9369592088998764,1.0,1.0,1.0,0.9369592088998765,0.9917394710110432
5,0.9999999992090189,0.9808707124010554,1.0,0.96,1.0416666666666667,1.0276556641438688,0.9808707139527557
6,1.0077736549947003,0.9778076664425017,1.0,1.0,1.0,0.9778076664425017,0.9627808337990905
7,0.955041309303988,0.9786795048143053,1.0,1.0,1.0,0.9786795048143053,1.072991248208044
8,0.9983272406499819,0.9940267041461701,1.0,1.0,1.0,1.0652789120814419,0.9973606019521999
9,0.9845133431248958,0.9635913750441852,0.9444444444444444,0.9583333333333334,0.9855072463768115,0.990357802128746,0.994144904818922
10,1.0239478778909286,1.0524578136463683,1.0,1.0434782608695652,0.9583333333333335,1.002225497066352,1.0038041716376351
11,1.0033242358605825,0.9944231439525967,1.0,1.0,1.0,0.9944231439525966,0.987844571037196
12,0.9966867764427836,1.0497721696459867,1.0588235294117647,1.0,1.0588235294117647,1.0221465862342503,1.056763154234959
13,0.9822870383585504,0.9268781302170284,0.9444444444444444,1.0,0.9444444444444445,0.9996403022751283,0.9606071353615256
14,1.1649745795820314,0.946685878962536,0.8823529411764706,0.9583333333333334,0.9207161125319693,0.9415686579951711,0.6975462387432124
15,0.8683059203768729,1.0205479452054795,1.0666666666666667,1.0434782608695652,1.0222222222222221,1.0554113843274058,1.353592340725676
16,0.9983272357272625,1.0503355704697988,1.0625,1.0,1.0625000000000002,0.97861126646781,1.0538583347681625
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
