filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,1.3787301498782745,3.1231422505307855,2.3333333333333335,1.4615384615384615,1.5964912280701757,1.9205738754479136,1.6429835683409753
2,0.9603130926027282,1.7773623385452073,1.0714285714285714,1.263157894736842,0.8482142857142858,1.4068092800265404,1.9273042254781756
3,1.0166197313259626,1.0206540447504302,1.0666666666666667,1.0,1.0666666666666667,0.9890441396762735,0.9875554540263753
4,0.7771745980370544,1.0944350758853287,1.0625,1.0,1.0625000000000002,1.1300629052584916,1.8119775349702179
5,0.9888031954429266,0.9763739085772984,1.0,0.9791666666666666,1.0212765957446808,0.9926273570450493,0.9986112236532125
6,0.9500152354211295,1.0014027704716815,1.0,0.9787234042553191,1.0217391304347825,1.0395655370770238,1.1095519686207989
7,1.010896861032864,1.0173349676063737,1.0,1.0217391304347827,0.9787234042553192,0.990442903980039,0.9955206573923258
8,0.9823136528821776,0.9240963855421687,0.9411764705882353,0.9574468085106383,0.9830065359477123,1.006549157622567,0.957672267365
9,1.018004786013031,1.0914509219593966,1.0625,1.0222222222222221,1.0394021739130435,1.011656497081603,1.0531847755751433
10,0.9833251522079086,0.8843003412969284,0.9411764705882353,0.9782608695652174,0.9620915032679738,0.9794942017922219,0.914545877940673
11,1.0035120395579669,1.1269780007719028,1.0625,1.0444444444444445,1.0172872340425534,1.0046348283202935,1.1191035255743618
12,1.0063990271687633,0.9955479452054794,1.0,1.0,1.0,0.9925549686333184,0.9829281291019082
13,0.9905860566547117,0.9668042655658755,0.9411764705882353,0.9787234042553191,0.9616368286445011,1.004093730459282,0.9852674528310298
14,1.0119857373221177,0.9868350827254937,1.0625,1.0,1.0625000000000002,1.0127086291042036,0.963597794199846
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
