filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,274.7766926288605,3937.5,26,44,0.5909090909090909,0.8267961277782319,0.6553459912622723
1,380.4163030385971,3556.0,24,44,0.5454545454545454,0.7670405522001725,0.30878299475624726
2,283.6051208972931,3907.5,26,44,0.5909090909090909,0.8428602243313201,0.6104930355688442
3,272.7766937017441,3880.5,26,43,0.6046511627906976,0.8439538929969552,0.6553646766162079
4,271.9482662677765,3875.5,26,43,0.6046511627906976,0.8428664636798608,0.6585140058955713
5,323.889390707016,3589.5,25,43,0.5813953488372093,0.794006723146002,0.42998210019522787
6,266.77669084072113,3491.5,26,42,0.6190476190476191,0.7957834757834757,0.6164901585883925
7,289.5046145915985,3722.0,26,43,0.6046511627906976,0.8382882882882883,0.5580527487072526
8,255.1198366880417,3279.5,23,41,0.5609756097560976,0.8147826086956522,0.6331827034606001
9,249.220343708992,3336.0,23,42,0.5476190476190477,0.8146520146520146,0.6749458396682182
10,241.9066344499588,3591.0,24,43,0.5581395348837209,0.8020996202814384,0.7711337487222611
11,238.97770285606384,3496.5,24,42,0.5714285714285714,0.8200483957868672,0.7693582801060003
12,233.07820785045624,3269.0,23,41,0.5609756097560976,0.8327585851619923,0.7561734840896299
13,230.24978172779083,3075.0,21,41,0.5121951219512195,0.7981829980532122,0.7288808327275771
14,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
15,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
16,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
17,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
18,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
19,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
20,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
21,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
22,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
23,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
24,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
25,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
26,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
27,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
28,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
29,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
30,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
31,223.6639940738678,3098.5,23,40,0.575,0.8185180293224145,0.7783397534053706
