filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9999999957661666,1.0056239015817223,1.0,1.0,1.0,1.0056239015817223,1.0056239100970106
2,0.9598182713054848,0.9954561342188046,1.0,1.0,1.0,0.9954561342188045,1.0805480928758422
3,1.069670459743038,0.9950842696629213,1.0,1.0,1.0,0.9950842696629214,0.869680747774459
4,0.908380223906876,0.9770642201834863,0.96,0.9722222222222222,0.9874285714285714,1.0135987791716383,1.1840983292794522
5,1.1474827313996825,1.0763813651137595,1.0,1.0285714285714285,0.9722222222222222,1.0401646132675866,0.8174738206352176
6,0.758164567021427,0.968964938768663,0.9583333333333334,0.9722222222222222,0.9857142857142858,0.999890509240054,1.685703138068106
7,1.5947987749253603,0.8348337950138505,0.8695652173913043,1.0,0.8695652173913043,0.8600932083019324,0.3282375291182067
8,0.6848729879484161,1.1872666943177106,1.15,1.0,1.1500000000000001,1.1537805499466778,2.531210188154267
9,1.4427188729459064,0.8883842794759825,0.9130434782608695,1.0,0.9130434782608695,0.9096394226839859,0.426812803328858
10,0.9391663618198121,0.9734565473849783,0.9523809523809523,1.0,0.9523809523809523,0.9802341378360117,1.1036503679932363
11,0.9160438304519304,1.0951322965057564,0.95,1.0,0.95,1.0608933517787429,1.3050708179439998
12,0.8489870744303827,0.866838804869052,1.105263157894737,0.9714285714285714,1.1377708978328174,1.0003395043854189,1.2026415054689563
13,0.8428754655891854,1.1136170212765957,1.0,1.0294117647058822,0.9714285714285713,1.0591707151914032,1.5675053623602073
14,1.074384555164801,0.834543370271303,0.9523809523809523,0.9428571428571428,1.0101010101010102,0.9737737583652483,0.7229851855454866
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
