filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.990075943512568,0.9956791790440184,1.0,1.0,1.0,0.9956791790440184,1.0157396574713677
2,1.0,0.9913208570653648,1.0,1.0,1.0,0.9911798016560827,0.9913208570653649
3,0.9743331448680441,0.9548563611491108,1.0,0.9629629629629629,1.0384615384615385,0.994796769911638,1.0058265436082645
4,0.992725578445868,0.9896848137535816,1.0,1.0,1.0,0.9842163197193484,1.0042422347738276
5,1.019208309991585,0.9255935147654892,0.9,1.0,0.8999999999999999,0.9719369706386282,0.8910342358791783
6,0.9826427184997838,1.0706912730685016,1.1111111111111112,1.0,1.1111111111111112,1.0501259220952552,1.1088504631615506
7,0.9433500445155151,0.6643295354951797,0.65,0.9230769230769231,0.7041666666666666,0.8208150067488489,0.7465137521905079
8,1.01096863200695,1.007915567282322,1.0769230769230769,0.9583333333333334,1.1237458193979935,1.0036958250748003,0.9861631986622299
9,0.9083233728133064,0.918848167539267,1.0,0.9565217391304348,1.0454545454545454,0.9924509923292341,1.1136860366156862
10,1.2503622830495944,1.0270655270655271,0.8571428571428571,1.0454545454545454,0.8198757763975155,0.9785412661803135,0.6569410843481966
11,0.8444950399163098,1.0009246417013407,1.0833333333333333,1.0,1.0833333333333333,1.1123564374252952,1.4034830598019539
12,1.1148948775162046,1.1136258660508083,1.0769230769230769,1.0,1.076923076923077,1.0327833068846084,0.8959246167113886
13,1.0534483177021456,1.0236416424720034,1.0714285714285714,1.0,1.0714285714285714,0.8974766180489434,0.9224046361551209
14,1.0445102878307213,0.8679092382495948,0.7333333333333333,1.0,0.7333333333333334,1.0788393402334624,0.7955159055460614
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
