filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9999999967685185,0.9983353370942384,1.0,1.0,1.0,0.9993768471875751,0.9983353435464427
2,0.992400919438586,0.9845298749421029,1.0,1.0,1.0,0.9986274913743852,0.9996652213518532
3,1.0008284709709674,1.0002822732404968,1.0,1.0,1.0,1.0000601723140181,0.9986269209890472
4,0.9963459713541457,0.9935095475496191,1.0,1.0,1.0,1.0014789964289819,1.0008101628150174
5,1.0076789927029042,1.0057754213217194,1.0,1.0,1.0,1.0018947126576594,0.99050485518205
6,0.9951945126292017,0.99143368163419,1.0,1.0,1.0,0.9965502511223355,1.0010314531177305
7,0.9795135975756697,0.9673376376756552,0.9655172413793104,0.9622641509433962,1.0033806626098716,1.004153310001323,1.0082242695662134
8,1.015139389867589,1.0225755791126816,1.0357142857142858,1.0196078431372548,1.0157967032967032,0.9988723510842056,0.992302435405271
9,0.9753740664558858,0.9665962756767134,0.9655172413793104,0.9807692307692307,0.984448951994591,0.9947835612188709,1.0160210573958748
10,1.0070410469175453,0.9962264150943396,1.0,1.0,1.0,0.9875052138887667,0.9823442501511418
11,0.9979521456348456,0.9823564593301436,1.0,1.0,1.0,1.0160851444056145,0.9863922982367613
12,1.0280246487990354,1.082191780821918,1.0357142857142858,1.0392156862745099,0.9966307277628031,1.0011302810062936,1.0239934426816943
13,0.9807237874198226,0.9311767463666197,0.9655172413793104,0.9622641509433962,1.0033806626098716,0.9820853343148017,0.9681412031219039
14,0.9918585976779033,1.014500050347397,1.0,1.0,1.0,1.016353119079512,1.031222899401501
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
