filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9974587342554672,0.9982043454839289,1.0,1.0,1.0,0.9990581065683088,1.0032971555451582
2,1.0025477405961198,0.9994603345925526,1.0,1.0,1.0,0.9998312348661942,0.9943869997890589
3,0.9938648368780305,0.9780417566594672,1.0,1.0,1.0,0.9981576396723126,0.9901539996460156
4,1.0025569530677696,0.9974236290025764,1.0,1.0,1.0,1.0063726322025195,0.9923423951957276
5,0.9916016999780229,1.0024907749077492,1.0,1.0,1.0,1.0090328389652161,1.0195437333328836
6,0.9978692549432595,0.983620134351707,1.0,0.9841269841269841,1.0161290322580647,0.9920912207751558,0.9878252571185072
7,0.9974224788569996,0.9949480774628122,1.0,1.0,1.0,0.99953315855098,1.000096975401599
8,0.9981727035086152,1.010249177244946,1.0,1.0,1.0,0.9933870155654044,1.0139513712147874
9,0.9922332516562604,0.9916232315711094,1.0,1.0,1.0,1.0044914497064832,1.0072079355214758
10,1.0004476684927754,0.9981227707903135,1.0,0.9838709677419355,1.0163934426229506,1.0093152119431352,0.9972297142921229
11,0.9947839692398472,0.9815685536956931,1.0,1.0,1.0,0.9886293000785468,0.9918890146159833
12,0.9881092416195557,0.988599348534202,0.9583333333333334,0.9836065573770492,0.9743055555555556,1.0093849982862382,1.0125358236179172
13,0.9917183918010295,0.9892431437154763,1.0434782608695652,0.9833333333333333,1.0611643330876936,0.9827773665649273,1.0058340048382362
14,1.0091343674832827,1.0082288401253918,1.0,1.0,1.0,1.0145758508629257,0.9900591054917368
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
