filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9818017369870375,0.9596701917906435,1.0,0.9714285714285714,1.0294117647058825,0.9810314245737468,0.9955759874833848
2,1.0103620860440359,1.016996638027643,1.0,1.0294117647058822,0.9714285714285713,1.0279209562745808,0.996243349936907
3,0.9828392230504973,0.9709825528007346,0.9545454545454546,0.9714285714285714,0.982620320855615,0.9781750161548141,1.0051860815507943
4,1.0029100695155222,1.0183468885946663,1.0476190476190477,1.0,1.0476190476190477,1.0076342137489749,1.0124457397266802
5,0.9666740297521552,0.9533803863298663,1.0,1.0,1.0,1.0387909688682768,1.0202488423957925
6,1.0362332085275687,1.0457821936489382,1.0,1.0,1.0,0.9637327850223981,0.9739266069057967
7,0.9848136404007879,0.967026825633383,1.0,1.0294117647058822,0.9714285714285713,1.0332127303923961,0.9970809325081309
8,1.018361912766835,1.0215758042766325,0.9545454545454546,1.0,0.9545454545454545,0.9986996081247161,0.9850682059050678
9,0.9745005533122089,0.9732227041297379,1.0,0.9714285714285714,1.0294117647058825,0.9877484161316743,1.024821084348406
10,1.0012276916373553,0.9812051927920945,1.0,1.0,1.0,0.9812051927920945,0.9788003874174167
11,0.9945873483192742,0.9784755134281201,1.0,1.0294117647058822,0.9714285714285713,0.9933008999952128,0.9891544311589646
12,1.0024657210161831,1.0092835519677095,1.0,0.9714285714285714,1.0294117647058825,1.024810991228751,1.0043246769683507
13,0.9987701706964608,1.0117976404719056,1.0,1.0,1.0,0.9964673731920283,1.0142909157580895
14,1.014353576306804,0.9849802371541502,1.0,1.0,1.0,0.9931884057971014,0.9573016056538185
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
