filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,190.6518018245697,2527.0,26,30,0.8666666666666667,0.8039059248744397,0.8736415440933157
1,188.16652071475983,2445.0,25,29,0.8620689655172413,0.80113215203201,0.8677687736102923
2,187.58073329925537,2437.5,26,29,0.896551724137931,0.7990755302784358,0.8705185496351837
3,184.75230658054352,2372.5,26,28,0.9285714285714286,0.7747680334261144,0.8734465762877446
4,183.2375876903534,2351.5,25,28,0.8928571428571429,0.8036570276561682,0.8800872224509775
5,183.58073365688324,2333.5,25,28,0.8928571428571429,0.8104682904101905,0.8700885769042104
6,179.68123936653137,2275.0,25,27,0.9259259259259259,0.7971762478218177,0.8854943531107874
7,178.75230717658997,2261.5,25,28,0.8928571428571429,0.7974530112420743,0.8894123265004534
8,178.75230717658997,2215.5,25,28,0.8928571428571429,0.8162024229207483,0.871321251099604
9,177.23758816719055,2213.5,24,28,0.8571428571428571,0.819511464569431,0.885477901621887
10,179.58073389530182,2260.5,25,28,0.8928571428571429,0.8273226983969877,0.8808356657632899
11,177.33809304237366,2210.0,24,28,0.8571428571428571,0.8145364544579488,0.8830759750903878
12,178.99494755268097,2260.0,25,28,0.8928571428571429,0.8117816091954023,0.8864143095058646
13,178.40916061401367,2188.5,24,28,0.8571428571428571,0.8224592168804937,0.8640166569198507
14,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
15,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
16,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
17,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
18,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
19,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
20,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
21,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
22,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
23,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
24,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
25,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
26,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
27,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
28,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
29,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
30,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
31,176.99494767189026,2175.0,24,28,0.8571428571428571,0.8159513740131296,0.8724637392329481
