filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1,0.9692289186005899,0.9676743489973062,1.0,0.967741935483871,1.0333333333333332,1.022434215258394,1.0300931562790767
2,0.9949143340539585,0.9839158676152181,1.0,1.0,1.0,0.985443687285428,0.9940004674442633
3,1.0123406501425374,1.0194907261867336,1.0,1.0,1.0,1.0004202855073685,0.9947866016626035
4,0.9949506406625696,0.9956830095590503,1.0,1.0333333333333334,0.967741935483871,1.0014453121628126,1.0058148060400722
5,1.0086635360907867,1.0071229482812016,1.0,0.967741935483871,1.0333333333333332,0.9966851219719173,0.9898966392298831
6,0.998526338077501,1.0015375153751538,1.0,1.0,1.0,0.9802282065373845,1.0044959086758627
7,0.9893110573091785,0.9794289223211544,1.0,1.0,1.0,1.0124940419493877,1.0007076003605386
8,0.9913052733906743,0.990282131661442,1.0,1.0,1.0,1.0020712046574116,1.0077298195843387
9,0.9918523460760937,0.951883507439063,1.0,1.0,1.0,0.9587467555849686,0.9675863930725253
10,0.9963370934754646,1.0382440971067508,1.0,1.0,1.0,1.0206881746217,1.0458920742997209
11,0.9956928563905572,0.9795003203074952,1.0,0.9666666666666667,1.0344827586206897,1.035861319606599,0.987992845715173
12,0.9873937822070923,0.9777632439502943,1.0,1.0,1.0,0.9999851358582555,1.0028891460849936
13,1.0090277468882274,1.0237458193979934,0.9333333333333333,1.0,0.9333333333333333,1.0475538617095745,1.0055089103340389
14,0.9537300356144147,0.9281280627245998,1.0,0.9655172413793104,1.0357142857142856,0.9414785814634463,1.0203683618223
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
