filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
0,225.66399478912354,3232.5,24,40,0.6,0.8167731337895343,0.7976710928268562
1,221.4213536977768,3128.0,24,39,0.6153846153846154,0.8149487333668348,0.8017474831480416
2,222.8355668783188,3168.5,24,39,0.6153846153846154,0.8245585934032835,0.801852625531132
3,222.00714027881622,3129.5,24,38,0.631578947368421,0.8143889620186807,0.7979045372358802
4,218.93607211112976,3066.0,24,38,0.631578947368421,0.8264150943396227,0.8037988307119971
5,220.35028636455536,3078.5,24,38,0.631578947368421,0.8005459276560147,0.7967494703620969
6,210.45079100131989,2923.0,24,37,0.6486486486486487,0.8042397681628659,0.829349437662784
7,212.6934324502945,3007.5,24,37,0.6486486486486487,0.822507862710242,0.8354247552647331
8,216.69343173503876,3048.5,24,38,0.631578947368421,0.8060034508566559,0.8158391993663374
9,218.93607258796692,3005.0,23,38,0.6052631578947368,0.802945903440445,0.7878067435642939
10,212.2081515789032,2936.5,23,37,0.6216216216216216,0.8053441981267419,0.8194373291988237
11,218.1076455116272,3049.0,24,38,0.631578947368421,0.7995326464019785,0.8054257483956739
12,216.69343197345734,2971.5,24,38,0.631578947368421,0.7882151782421856,0.7952324669780015
13,215.62236392498016,2924.0,23,38,0.6052631578947368,0.7898588386856387,0.7903139107769844
14,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
15,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
16,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
17,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
18,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
19,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
20,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
21,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
22,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
23,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
24,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
25,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
26,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
27,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
28,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
29,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
30,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
31,211.62236380577087,2889.0,23,37,0.6216216216216216,0.8092436974789916,0.81065167358566
